384 -> 474
643 -> 607
749 -> 520
216 -> 199
729 -> 711
765 -> 677
316 -> 100
779 -> 547
95 -> 55
328 -> 156
600 -> 863
175 -> 462
840 -> 512
702 -> 638
588 -> 97
897 -> 566
892 -> 273
236 -> 22
524 -> 518
518 -> 524
863 -> 600
450 -> 633
860 -> 529
542 -> 0 461
526 -> 0 461
523 -> 0 461
541 -> 0 461
584 -> 461 0
540 -> 461 0
539 -> 461 0
527 -> 0 461
536 -> 0 461
528 -> 0 461
534 -> 0 461
530 -> 0 461
533 -> 461 0
531 -> 461 0
567 -> 0 461
595 -> 461 0
581 -> 461 0
579 -> 461 0
576 -> 0 461
574 -> 461 0
573 -> 0 461
571 -> 461 0
570 -> 0 461
569 -> 0 461
568 -> 461 0
543 -> 461 0
565 -> 461 0
564 -> 0 461
563 -> 0 461
561 -> 461 0
558 -> 461 0
553 -> 461 0
550 -> 461 0
548 -> 461 0
546 -> 461 0
545 -> 461 0
469 -> 461 0
484 -> 461 0
483 -> 461 0
482 -> 0 461
481 -> 461 0
480 -> 0 461
479 -> 0 461
478 -> 461 0
477 -> 461 0
476 -> 0 461
475 -> 0 461
485 -> 0 461
468 -> 461 0
465 -> 0 461
447 -> 461 0
430 -> 461 0
419 -> 461 0
418 -> 461 0
409 -> 461 0
406 -> 0 461
403 -> 461 0
500 -> 0 461
519 -> 0 461
517 -> 0 461
516 -> 0 461
515 -> 461 0
513 -> 0 461
510 -> 0 461
508 -> 461 0
507 -> 461 0
504 -> 461 0
503 -> 461 0
522 -> 461 0
499 -> 461 0
498 -> 461 0
497 -> 461 0
494 -> 0 461
492 -> 461 0
489 -> 461 0
488 -> 0 461
487 -> 0 461
486 -> 461 0
732 -> 0 461
759 -> 461 0
755 -> 461 0
751 -> 0 461
748 -> 461 0
747 -> 0 461
746 -> 0 461
745 -> 0 461
741 -> 461 0
738 -> 461 0
737 -> 461 0
764 -> 461 0
731 -> 0 461
730 -> 461 0
722 -> 0 461
720 -> 461 0
717 -> 0 461
714 -> 461 0
713 -> 461 0
712 -> 461 0
710 -> 0 461
707 -> 0 461
830 -> 461 0
923 -> 461 0
915 -> 461 0
913 -> 0 461
889 -> 461 0
884 -> 0 461
883 -> 461 0
880 -> 0 461
845 -> 0 461
841 -> 461 0
832 -> 0 461
698 -> 461 0
821 -> 461 0
817 -> 0 461
816 -> 461 0
815 -> 0 461
